Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_2,Install Piled Wall [Phase_2],0.000000,10.300000,5,17,0.000041,-0.000718,0.000719,0.000041,-0.000718,0.000719,0.000718,0.000041,0.269858,0.792009,-147.506863,0.000000,22.053252,0.001778
Phase_2,Install Piled Wall [Phase_2],0.000000,10.192857,5,17,0.000041,-0.000717,0.000718,0.000041,-0.000717,0.000718,0.000717,0.000041,0.354570,0.788735,-147.709237,0.000000,22.285587,-0.054891
Phase_2,Install Piled Wall [Phase_2],0.000000,10.085714,5,17,0.000041,-0.000716,0.000718,0.000041,-0.000716,0.000718,0.000716,0.000041,0.438684,0.780196,-147.885592,0.000000,22.526967,-0.105590
Phase_2,Install Piled Wall [Phase_2],0.000000,9.978571,5,17,0.000041,-0.000716,0.000717,0.000041,-0.000716,0.000717,0.000716,0.000041,0.521611,0.766537,-148.035598,0.000000,22.777474,-0.150490
Phase_2,Install Piled Wall [Phase_2],0.000000,9.871429,5,17,0.000041,-0.000715,0.000716,0.000041,-0.000715,0.000716,0.000715,0.000041,0.602765,0.747901,-148.158927,0.000000,23.036722,-0.190436
Phase_2,Install Piled Wall [Phase_2],0.000000,9.871429,5,18,0.000041,-0.000715,0.000716,0.000041,-0.000715,0.000716,0.000715,0.000041,0.602765,0.748301,-148.158191,0.000000,23.036722,-0.190436
Phase_2,Install Piled Wall [Phase_2],0.000000,9.764286,5,18,0.000041,-0.000714,0.000715,0.000041,-0.000714,0.000715,0.000714,0.000041,0.681743,0.725729,-148.253309,0.000000,23.304902,-0.225661
Phase_2,Install Piled Wall [Phase_2],0.000000,9.657143,5,18,0.000041,-0.000713,0.000714,0.000041,-0.000713,0.000714,0.000713,0.000041,0.758161,0.699916,-148.318522,0.000000,23.581776,-0.256832
Phase_2,Install Piled Wall [Phase_2],0.000000,9.550000,5,18,0.000041,-0.000712,0.000714,0.000041,-0.000712,0.000714,0.000712,0.000041,0.831648,0.670975,-148.353580,0.000000,23.867878,-0.284072
Phase_2,Install Piled Wall [Phase_2],0.000000,9.442857,5,18,0.000041,-0.000712,0.000713,0.000041,-0.000712,0.000713,0.000712,0.000041,0.901836,0.639016,-148.358229,0.000000,24.162943,-0.307968
Phase_2,Install Piled Wall [Phase_2],0.000000,9.442857,5,19,0.000041,-0.000712,0.000713,0.000041,-0.000712,0.000713,0.000712,0.000041,0.901836,0.639278,-148.357390,0.000000,24.162943,-0.307968
Phase_2,Install Piled Wall [Phase_2],0.000000,9.335714,5,19,0.000041,-0.000711,0.000712,0.000041,-0.000711,0.000712,0.000711,0.000041,0.968495,0.604988,-148.330014,0.000000,24.467441,-0.328710
Phase_2,Install Piled Wall [Phase_2],0.000000,9.228571,5,19,0.000041,-0.000710,0.000711,0.000041,-0.000710,0.000711,0.000710,0.000041,1.031407,0.568826,-148.268645,0.000000,24.781371,-0.346678
Phase_2,Install Piled Wall [Phase_2],0.000000,9.121429,5,19,0.000041,-0.000709,0.000710,0.000041,-0.000709,0.000710,0.000709,0.000041,1.090351,0.530877,-148.173101,0.000000,25.105441,-0.362044
Phase_2,Install Piled Wall [Phase_2],0.000000,9.014286,5,19,0.000041,-0.000708,0.000709,0.000041,-0.000708,0.000709,0.000708,0.000041,1.145108,0.491231,-148.043200,0.000000,25.439575,-0.375129
Phase_2,Install Piled Wall [Phase_2],0.000000,9.014286,5,20,0.000041,-0.000708,0.000709,0.000041,-0.000708,0.000709,0.000708,0.000041,1.145108,0.491400,-148.042181,0.000000,25.439575,-0.375129
Phase_2,Install Piled Wall [Phase_2],0.000000,8.907143,5,20,0.000041,-0.000707,0.000709,0.000041,-0.000707,0.000709,0.000707,0.000041,1.195565,0.450504,-147.876039,0.000000,25.784414,-0.386097
Phase_2,Install Piled Wall [Phase_2],0.000000,8.800000,5,20,0.000041,-0.000707,0.000708,0.000041,-0.000707,0.000708,0.000707,0.000041,1.241609,0.408659,-147.671275,0.000000,26.140156,-0.395186
Phase_2,Install Piled Wall [Phase_2],0.000000,8.692857,5,20,0.000041,-0.000706,0.000707,0.000041,-0.000706,0.000707,0.000706,0.000041,1.283124,0.365934,-147.427772,0.000000,26.507621,-0.402506
Phase_2,Install Piled Wall [Phase_2],0.000000,8.585714,5,20,0.000040,-0.000705,0.000706,0.000040,-0.000705,0.000706,0.000705,0.000040,1.319996,0.322402,-147.145414,0.000000,26.886940,-0.408287
Phase_2,Install Piled Wall [Phase_2],0.000000,8.585714,5,21,0.000040,-0.000705,0.000706,0.000040,-0.000705,0.000706,0.000705,0.000040,1.319996,0.322510,-147.144147,0.000000,26.886940,-0.408287
Phase_2,Install Piled Wall [Phase_2],0.000000,8.478571,5,21,0.000040,-0.000704,0.000705,0.000040,-0.000704,0.000705,0.000704,0.000040,1.352188,0.278463,-146.820636,0.000000,27.278940,-0.412569
Phase_2,Install Piled Wall [Phase_2],0.000000,8.371429,5,21,0.000040,-0.000703,0.000704,0.000040,-0.000703,0.000704,0.000703,0.000040,1.379654,0.234101,-146.453047,0.000000,27.683842,-0.415585
Phase_2,Install Piled Wall [Phase_2],0.000000,8.264286,5,21,0.000040,-0.000702,0.000704,0.000040,-0.000702,0.000704,0.000702,0.000040,1.402355,0.189487,-146.041322,0.000000,28.102883,-0.417276
Phase_2,Install Piled Wall [Phase_2],0.000000,8.157143,5,21,0.000040,-0.000702,0.000703,0.000040,-0.000702,0.000703,0.000702,0.000040,1.420253,0.144684,-145.585406,0.000000,28.536100,-0.417921
Phase_2,Install Piled Wall [Phase_2],0.000000,8.157143,5,22,0.000040,-0.000702,0.000703,0.000040,-0.000702,0.000703,0.000702,0.000040,1.420253,0.144755,-145.583824,0.000000,28.536100,-0.417921
Phase_2,Install Piled Wall [Phase_2],0.000000,8.050000,5,22,0.000040,-0.000701,0.000702,0.000040,-0.000701,0.000702,0.000701,0.000040,1.433360,0.099959,-145.080878,0.000000,28.984709,-0.417346
Phase_2,Install Piled Wall [Phase_2],0.000000,7.942857,5,22,0.000040,-0.000700,0.000701,0.000040,-0.000700,0.000701,0.000700,0.000040,1.441677,0.055324,-144.527275,0.000000,29.448885,-0.415871
Phase_2,Install Piled Wall [Phase_2],0.000000,7.835714,5,22,0.000040,-0.000699,0.000700,0.000040,-0.000699,0.000700,0.000699,0.000040,1.445225,0.010911,-143.923017,0.000000,29.930362,-0.413223
Phase_2,Install Piled Wall [Phase_2],0.000000,7.728571,5,22,0.000039,-0.000698,0.000700,0.000039,-0.000698,0.000700,0.000698,0.000039,1.444027,-0.033223,-143.268108,0.000000,30.429077,-0.409739
Phase_2,Install Piled Wall [Phase_2],0.000000,7.728571,5,23,0.000039,-0.000698,0.000700,0.000039,-0.000698,0.000700,0.000698,0.000039,1.444027,-0.033160,-143.266125,0.000000,30.429077,-0.409739
Phase_2,Install Piled Wall [Phase_2],0.000000,7.621429,5,23,0.000039,-0.000698,0.000699,0.000039,-0.000698,0.000699,0.000698,0.000039,1.438130,-0.076866,-142.557039,0.000000,30.946590,-0.405153
Phase_2,Install Piled Wall [Phase_2],0.000000,7.514286,5,23,0.000039,-0.000697,0.000698,0.000039,-0.000697,0.000698,0.000697,0.000039,1.427575,-0.119977,-141.789258,0.000000,31.483292,-0.399613
Phase_2,Install Piled Wall [Phase_2],0.000000,7.407143,5,23,0.000039,-0.000696,0.000697,0.000039,-0.000696,0.000697,0.000696,0.000039,1.412437,-0.162439,-140.962848,0.000000,32.041104,-0.393035
