Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_11,Install base slab to +12 [Phase_11],2.678571,11.650000,3,7,0.003363,0.001305,0.003607,0.000011,-0.000530,0.000530,-0.003363,0.001305,-15.815509,-15.815509,-1.375628,0.035785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.571429,11.650000,3,7,0.003422,0.001305,0.003662,0.000012,-0.000524,0.000524,-0.003422,0.001305,-15.610871,-15.610871,-1.463882,0.038145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.428571,11.650000,3,8,0.002983,0.001303,0.003255,0.000009,-0.000567,0.000567,-0.002983,0.001303,-16.926823,-16.926823,-0.830338,0.021407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.321429,11.650000,3,8,0.003034,0.001303,0.003302,0.000009,-0.000562,0.000562,-0.003034,0.001303,-16.800062,-16.800062,-0.900800,0.023247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.214286,11.650000,3,8,0.003086,0.001303,0.003350,0.000010,-0.000557,0.000557,-0.003086,0.001303,-16.669429,-16.669429,-0.973549,0.025151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.107143,11.650000,3,8,0.003139,0.001303,0.003399,0.000010,-0.000552,0.000552,-0.003139,0.001303,-16.519059,-16.519059,-1.048917,0.027131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.000000,11.650000,3,8,0.003193,0.001304,0.003449,0.000010,-0.000547,0.000547,-0.003193,0.001304,-16.364407,-16.364407,-1.126746,0.029181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.857143,11.650000,3,9,0.002787,0.001306,0.003078,0.000008,-0.000584,0.000584,-0.002787,0.001306,-17.328735,-17.328735,-0.572765,0.014719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.750000,11.650000,3,9,0.002835,0.001305,0.003121,0.000008,-0.000580,0.000580,-0.002835,0.001305,-17.239549,-17.239549,-0.633690,0.016296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.642857,11.650000,3,9,0.002884,0.001304,0.003165,0.000008,-0.000576,0.000576,-0.002884,0.001304,-17.147182,-17.147182,-0.696771,0.017932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
