Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_41,Construct silo slab [Phase_41],-19.000000,95.318623,1,-0.016029,0.016865,0.023267,-0.000098,-0.000033,0.000104,-0.016865,-0.016029,-0.008476,-0.020482,-0.812709,0.000000,0.000000,-0.025757
Phase_41,Construct silo slab [Phase_41],-19.000000,95.237246,1,-0.016147,0.016928,0.023394,-0.000098,-0.000033,0.000103,-0.016928,-0.016147,-0.010226,-0.022481,-1.226042,0.000000,0.000000,-0.023375
Phase_41,Construct silo slab [Phase_41],-19.000000,95.155869,1,-0.016260,0.016999,0.023524,-0.000098,-0.000033,0.000103,-0.016999,-0.016260,-0.012131,-0.024280,-1.639375,0.000000,0.000000,-0.020862
Phase_41,Construct silo slab [Phase_41],-19.000000,95.074492,1,-0.016369,0.017079,0.023656,-0.000097,-0.000033,0.000103,-0.017079,-0.016369,-0.014172,-0.025877,-2.052417,0.000000,0.000000,-0.018499
Phase_41,Construct silo slab [Phase_41],-19.000000,95.074492,1,-0.016369,0.017079,0.023656,-0.000097,-0.000033,0.000103,-0.017079,-0.016369,-0.014172,-0.025883,-2.052625,0.000000,0.000000,-0.018499
Phase_41,Construct silo slab [Phase_41],-19.000000,94.987367,1,-0.016274,0.017158,0.023648,-0.000097,-0.000033,0.000103,-0.017158,-0.016274,-0.016493,-0.027376,-2.494841,0.000000,0.000000,-0.015872
Phase_41,Construct silo slab [Phase_41],-19.000000,94.900243,1,-0.016171,0.017236,0.023635,-0.000097,-0.000033,0.000102,-0.017236,-0.016171,-0.018936,-0.028648,-2.937370,0.000000,0.000000,-0.013318
Phase_41,Construct silo slab [Phase_41],-19.000000,94.813118,1,-0.016075,0.017313,0.023625,-0.000097,-0.000033,0.000102,-0.017313,-0.016075,-0.021480,-0.029699,-3.379899,0.000000,0.000000,-0.010799
Phase_41,Construct silo slab [Phase_41],-19.000000,94.725993,1,-0.015980,0.017395,0.023621,-0.000096,-0.000033,0.000102,-0.017395,-0.015980,-0.024105,-0.030529,-3.822116,0.000000,0.000000,-0.008317
Phase_41,Construct silo slab [Phase_41],-19.000000,94.725993,1,-0.015980,0.017395,0.023621,-0.000096,-0.000033,0.000102,-0.017395,-0.015980,-0.024105,-0.030609,-3.822657,0.000000,0.000000,-0.008317
Phase_41,Construct silo slab [Phase_41],-19.000000,94.374430,1,-0.015556,0.017757,0.023608,-0.000095,-0.000033,0.000101,-0.017757,-0.015556,-0.035146,-0.031668,-5.607078,0.000000,0.000000,0.001549
Phase_41,Construct silo slab [Phase_41],-19.000000,94.022866,1,-0.015078,0.018119,0.023572,-0.000094,-0.000033,0.000100,-0.018119,-0.015078,-0.045990,-0.029491,-7.392762,0.000000,0.000000,0.011025
Phase_41,Construct silo slab [Phase_41],-19.000000,93.671303,1,-0.014538,0.018458,0.023496,-0.000093,-0.000033,0.000099,-0.018458,-0.014538,-0.055517,-0.024157,-9.178450,0.000000,0.000000,0.019513
Phase_41,Construct silo slab [Phase_41],-19.000000,93.319740,1,-0.013935,0.018787,0.023391,-0.000092,-0.000033,0.000098,-0.018787,-0.013935,-0.062617,-0.015744,-10.962883,0.000000,0.000000,0.023306
Phase_41,Construct silo slab [Phase_41],-19.000000,93.319740,1,-0.013935,0.018787,0.023391,-0.000092,-0.000033,0.000098,-0.018787,-0.013935,-0.062617,-0.018513,-10.897192,0.000000,0.000000,0.018889
Phase_41,Construct silo slab [Phase_41],-19.000000,92.841633,1,-0.013037,0.018905,0.022964,-0.000090,-0.000033,0.000096,-0.018905,-0.013037,-0.067628,-0.002239,-13.439147,0.000000,0.000000,0.034052
Phase_41,Construct silo slab [Phase_41],-19.000000,92.363526,1,-0.012416,0.018931,0.022639,-0.000089,-0.000033,0.000095,-0.018931,-0.012416,-0.064676,0.014379,-15.805033,0.000000,0.000000,0.037111
Phase_41,Construct silo slab [Phase_41],-19.000000,91.885418,1,-0.011798,0.018710,0.022119,-0.000087,-0.000033,0.000093,-0.018710,-0.011798,-0.053963,0.030449,-17.855121,0.000000,1.321248,0.031763
Phase_41,Construct silo slab [Phase_41],-19.000000,91.407311,1,-0.011528,0.018569,0.021857,-0.000085,-0.000033,0.000092,-0.018569,-0.011528,-0.035816,0.045082,-19.449678,0.000000,1.268922,0.037542
Phase_41,Construct silo slab [Phase_41],-19.000000,91.407311,1,-0.011528,0.018569,0.021857,-0.000085,-0.000033,0.000092,-0.018569,-0.011528,-0.035816,0.047005,-19.639153,0.000000,1.096090,0.032440
Phase_41,Construct silo slab [Phase_41],-19.000000,90.890492,1,0.003656,0.007149,0.008030,-0.000084,-0.000033,0.000090,-0.007149,0.003656,-0.007587,0.062139,-21.485621,0.000000,1.597030,0.030780
Phase_41,Construct silo slab [Phase_41],-19.000000,90.373672,1,0.004469,0.007007,0.008311,-0.000082,-0.000033,0.000088,-0.007007,0.004469,0.028525,0.078189,-23.240441,0.000000,1.754296,0.028432
Phase_41,Construct silo slab [Phase_41],-19.000000,89.856853,1,0.005154,0.005896,0.007831,-0.000080,-0.000033,0.000087,-0.005896,0.005154,0.073691,0.096792,-24.893405,0.000000,1.991239,0.040658
Phase_41,Construct silo slab [Phase_41],-19.000000,89.340033,1,0.005935,0.004707,0.007575,-0.000078,-0.000033,0.000085,-0.004707,0.005935,0.129340,0.119583,-26.434303,0.000000,2.249290,0.029080
Phase_41,Construct silo slab [Phase_41],-19.000000,89.340033,1,0.005935,0.004707,0.007575,-0.000078,-0.000033,0.000085,-0.004707,0.005935,0.129340,0.112251,-26.420999,0.000000,2.524566,0.032747
Phase_41,Construct silo slab [Phase_41],-19.000000,88.817498,1,0.006491,0.004028,0.007639,-0.000076,-0.000033,0.000083,-0.004028,0.006491,0.195791,0.141934,-27.742397,0.000000,2.610592,0.054177
Phase_41,Construct silo slab [Phase_41],-19.000000,88.294962,1,0.006779,0.003299,0.007539,-0.000074,-0.000033,0.000082,-0.003299,0.006779,0.277292,0.169242,-28.999588,0.000000,2.734776,0.052052
