Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.500000,7,56,-0.001630,-0.026801,0.026850,-0.001630,-0.026801,0.026850,-0.026801,0.001630,-0.000000,0.000000,-210.600000,-63.180000
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.700000,7,56,-0.001651,-0.026802,0.026852,-0.001651,-0.026802,0.026852,-0.026802,0.001651,-0.000000,0.000000,-204.118502,-61.235551
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.900000,7,56,-0.001671,-0.026803,0.026855,-0.001671,-0.026803,0.026855,-0.026803,0.001671,-0.000000,0.000000,-197.641575,-59.292472
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.900000,7,57,-0.001671,-0.026803,0.026855,-0.001671,-0.026803,0.026855,-0.026803,0.001671,-0.000000,0.000000,-197.638425,-59.291528
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.100000,7,57,-0.001691,-0.026803,0.026857,-0.001691,-0.026803,0.026857,-0.026803,0.001691,-0.000000,0.000000,-191.161498,-57.348449
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.300000,7,57,-0.001711,-0.026804,0.026859,-0.001711,-0.026804,0.026859,-0.026804,0.001711,-0.000000,0.000000,-184.680000,-55.404000
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.500000,7,57,-0.001731,-0.026805,0.026861,-0.001731,-0.026805,0.026861,-0.026805,0.001731,-0.000000,0.000000,-178.198502,-53.459551
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.700000,7,57,-0.001752,-0.026806,0.026863,-0.001752,-0.026806,0.026863,-0.026806,0.001752,-0.000000,0.000000,-171.721575,-51.516472
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.700000,7,58,-0.001752,-0.026806,0.026863,-0.001752,-0.026806,0.026863,-0.026806,0.001752,-0.000000,0.000000,-171.718425,-51.515528
Phase_2,Install Cofferdam [Phase_2],-34.660000,100.900000,7,58,-0.001772,-0.026807,0.026865,-0.001772,-0.026807,0.026865,-0.026807,0.001772,-0.000000,0.000000,-165.241498,-49.572449
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.100000,7,58,-0.001792,-0.026807,0.026867,-0.001792,-0.026807,0.026867,-0.026807,0.001792,-0.000000,0.000000,-158.760000,-47.628000
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.300000,7,58,-0.001812,-0.026808,0.026869,-0.001812,-0.026808,0.026869,-0.026808,0.001812,-0.000000,0.000000,-152.278502,-45.683551
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.500000,7,58,-0.001832,-0.026809,0.026871,-0.001832,-0.026809,0.026871,-0.026809,0.001832,-0.000000,0.000000,-145.801575,-43.740472
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.300000,7,59,-0.003144,-0.014346,0.014686,-0.003144,-0.014346,0.014686,-0.014346,0.003144,-0.000000,0.000000,-249.478425,-74.843528
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.500000,7,59,-0.003200,-0.014347,0.014699,-0.003200,-0.014347,0.014699,-0.014347,0.003200,-0.000000,0.000000,-243.001498,-72.900449
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.700000,7,59,-0.003255,-0.014348,0.014713,-0.003255,-0.014348,0.014713,-0.014348,0.003255,-0.000000,0.000000,-236.520000,-70.956000
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.900000,7,59,-0.003311,-0.014349,0.014726,-0.003311,-0.014349,0.014726,-0.014349,0.003311,-0.000000,0.000000,-230.038502,-69.011551
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.100000,7,59,-0.003367,-0.014350,0.014740,-0.003367,-0.014350,0.014740,-0.014350,0.003367,-0.000000,0.000000,-223.561575,-67.068472
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.100000,7,60,-0.003367,-0.014350,0.014740,-0.003367,-0.014350,0.014740,-0.014350,0.003367,-0.000000,0.000000,-223.558425,-67.067528
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.300000,7,60,-0.003423,-0.014351,0.014754,-0.003423,-0.014351,0.014754,-0.014351,0.003423,-0.000000,0.000000,-217.081498,-65.124449
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.500000,7,60,-0.003479,-0.014352,0.014768,-0.003479,-0.014352,0.014768,-0.014352,0.003479,-0.000000,0.000000,-210.600000,-63.180000
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.700000,7,60,-0.003535,-0.014353,0.014782,-0.003535,-0.014353,0.014782,-0.014353,0.003535,-0.000000,0.000000,-204.118502,-61.235551
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.900000,7,60,-0.003591,-0.014354,0.014796,-0.003591,-0.014354,0.014796,-0.014354,0.003591,-0.000000,0.000000,-197.641575,-59.292472
Phase_2,Install Cofferdam [Phase_2],-23.375000,99.900000,7,61,-0.003591,-0.014354,0.014796,-0.003591,-0.014354,0.014796,-0.014354,0.003591,-0.000000,0.000000,-197.638425,-59.291528
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.100000,7,61,-0.003647,-0.014355,0.014811,-0.003647,-0.014355,0.014811,-0.014355,0.003647,-0.000000,0.000000,-191.161498,-57.348449
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.300000,7,61,-0.003703,-0.014356,0.014826,-0.003703,-0.014356,0.014826,-0.014356,0.003703,-0.000000,0.000000,-184.680000,-55.404000
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.500000,7,61,-0.003759,-0.014357,0.014840,-0.003759,-0.014357,0.014840,-0.014357,0.003759,-0.000000,0.000000,-178.198502,-53.459551
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.700000,7,61,-0.003815,-0.014357,0.014855,-0.003815,-0.014357,0.014855,-0.014357,0.003815,-0.000000,0.000000,-171.721575,-51.516472
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.700000,7,62,-0.003815,-0.014357,0.014855,-0.003815,-0.014357,0.014855,-0.014357,0.003815,-0.000000,0.000000,-171.718425,-51.515528
Phase_2,Install Cofferdam [Phase_2],-23.375000,100.900000,7,62,-0.003871,-0.014358,0.014871,-0.003871,-0.014358,0.014871,-0.014358,0.003871,-0.000000,0.000000,-165.241498,-49.572449
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.100000,7,62,-0.003927,-0.014359,0.014886,-0.003927,-0.014359,0.014886,-0.014359,0.003927,-0.000000,0.000000,-158.760000,-47.628000
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.300000,7,62,-0.003983,-0.014360,0.014902,-0.003983,-0.014360,0.014902,-0.014360,0.003983,-0.000000,0.000000,-152.278502,-45.683551
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.500000,7,62,-0.004038,-0.014360,0.014917,-0.004038,-0.014360,0.014917,-0.014360,0.004038,-0.000000,0.000000,-145.801575,-43.740472
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.800000,7,63,-0.001459,-0.026792,0.026831,-0.001459,-0.026792,0.026831,-0.026792,0.001459,-0.000000,0.000000,-265.679016,-79.703705
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.925000,7,63,-0.001471,-0.026792,0.026833,-0.001471,-0.026792,0.026833,-0.026792,0.001471,-0.000000,0.000000,-261.630936,-78.489281
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.050000,7,63,-0.001484,-0.026793,0.026834,-0.001484,-0.026793,0.026834,-0.026793,0.001484,-0.000000,0.000000,-257.580000,-77.274000
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.175000,7,63,-0.001496,-0.026794,0.026836,-0.001496,-0.026794,0.026836,-0.026794,0.001496,-0.000000,0.000000,-253.529064,-76.058719
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.300000,7,63,-0.001509,-0.026794,0.026837,-0.001509,-0.026794,0.026837,-0.026794,0.001509,-0.000000,0.000000,-249.480984,-74.844295
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.800000,7,64,-0.003004,-0.014343,0.014654,-0.003004,-0.014343,0.014654,-0.014343,0.003004,-0.000000,0.000000,-265.679016,-79.703705
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.925000,7,64,-0.003039,-0.014344,0.014662,-0.003039,-0.014344,0.014662,-0.014344,0.003039,-0.000000,0.000000,-261.630936,-78.489281
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.050000,7,64,-0.003074,-0.014344,0.014670,-0.003074,-0.014344,0.014670,-0.014344,0.003074,-0.000000,0.000000,-257.580000,-77.274000
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.175000,7,64,-0.003109,-0.014345,0.014678,-0.003109,-0.014345,0.014678,-0.014345,0.003109,-0.000000,0.000000,-253.529064,-76.058719
Phase_2,Install Cofferdam [Phase_2],-23.375000,98.300000,7,64,-0.003144,-0.014346,0.014686,-0.003144,-0.014346,0.014686,-0.014346,0.003144,-0.000000,0.000000,-249.480984,-74.844295
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.500000,7,65,-0.002640,-0.014334,0.014576,-0.002640,-0.014334,0.014576,-0.014334,0.002640,-0.000000,0.000000,-307.798903,-92.339671
