Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-19.000000,80.833333,1,-0.004744,-0.019740,0.020302,-0.000933,-0.009751,0.009795,0.019740,-0.004744,402.221679,-100.708493,-2445.663083,0.000000,98.759093,9.383840
Phase_19,Ramped Internal Load [Phase_19],-19.000000,80.291667,1,-0.004511,-0.019698,0.020208,-0.000851,-0.009688,0.009725,0.019698,-0.004511,349.464999,-94.014535,-2392.670779,0.000000,106.418455,12.847081
Phase_19,Ramped Internal Load [Phase_19],-19.000000,79.750000,1,-0.004252,-0.019621,0.020076,-0.000778,-0.009627,0.009659,0.019621,-0.004252,300.480195,-86.751568,-2335.884494,0.000000,113.389324,14.143202
Phase_19,Ramped Internal Load [Phase_19],-19.000000,79.208333,1,-0.004014,-0.019536,0.019945,-0.000712,-0.009568,0.009595,0.019536,-0.004014,255.544735,-79.032421,-2275.363360,0.000000,120.210169,14.531621
Phase_19,Ramped Internal Load [Phase_19],-19.000000,78.666667,1,-0.003797,-0.019448,0.019815,-0.000651,-0.009511,0.009533,0.019448,-0.003797,214.918787,-70.969924,-2211.166505,0.000000,127.318001,14.529270
Phase_19,Ramped Internal Load [Phase_19],-19.000000,78.666667,1,-0.003797,-0.019448,0.019815,-0.000651,-0.009511,0.009533,0.019448,-0.003797,214.918787,-71.146341,-2211.062883,0.000000,127.253994,14.525478
Phase_19,Ramped Internal Load [Phase_19],-19.000000,78.125000,1,-0.003600,-0.019352,0.019684,-0.000595,-0.009456,0.009475,0.019352,-0.003600,178.540396,-63.250523,-2143.013501,0.000000,134.479528,14.264069
Phase_19,Ramped Internal Load [Phase_19],-19.000000,77.583333,1,-0.003420,-0.019252,0.019553,-0.000543,-0.009403,0.009419,0.019252,-0.003420,146.340971,-55.682014,-2070.900679,0.000000,141.851859,13.733986
Phase_19,Ramped Internal Load [Phase_19],-19.000000,77.041667,1,-0.003255,-0.019146,0.019421,-0.000494,-0.009352,0.009365,0.019146,-0.003255,118.137894,-48.481347,-1994.762476,0.000000,149.344091,12.905733
Phase_19,Ramped Internal Load [Phase_19],-19.000000,76.500000,1,-0.003104,-0.019037,0.019288,-0.000448,-0.009303,0.009314,0.019037,-0.003104,93.743167,-41.689057,-1914.636948,0.000000,156.964148,11.988626
Phase_19,Ramped Internal Load [Phase_19],-19.000000,76.500000,1,-0.003104,-0.019037,0.019288,-0.000448,-0.009303,0.009314,0.019037,-0.003104,93.743167,-41.706333,-1914.463104,0.000000,156.970727,11.989226
Phase_19,Ramped Internal Load [Phase_19],-19.000000,75.958333,1,-0.002963,-0.018925,0.019155,-0.000403,-0.009257,0.009266,0.018925,-0.002963,72.852541,-35.537301,-1830.276801,0.000000,164.821644,10.866420
Phase_19,Ramped Internal Load [Phase_19],-19.000000,75.416667,1,-0.002831,-0.018810,0.019022,-0.000360,-0.009213,0.009220,0.018810,-0.002831,55.143638,-29.933841,-1741.451074,0.000000,173.130648,9.827424
Phase_19,Ramped Internal Load [Phase_19],-19.000000,74.875000,1,-0.002706,-0.018694,0.018889,-0.000317,-0.009171,0.009176,0.018694,-0.002706,40.313055,-24.904827,-1647.991891,0.000000,181.931647,8.745156
Phase_19,Ramped Internal Load [Phase_19],-19.000000,74.333333,1,-0.002587,-0.018577,0.018757,-0.000274,-0.009131,0.009136,0.018577,-0.002587,28.056866,-20.459135,-1549.905221,0.000000,191.207708,7.918967
Phase_19,Ramped Internal Load [Phase_19],-19.000000,74.333333,1,-0.002587,-0.018577,0.018757,-0.000274,-0.009131,0.009136,0.018577,-0.002587,28.056866,-20.345569,-1549.540885,0.000000,191.193100,7.918792
Phase_19,Ramped Internal Load [Phase_19],-19.000000,73.791667,1,-0.002471,-0.018460,0.018625,-0.000231,-0.009095,0.009098,0.018460,-0.002471,18.121717,-16.366050,-1446.392827,0.000000,201.252006,7.195070
Phase_19,Ramped Internal Load [Phase_19],-19.000000,73.250000,1,-0.002358,-0.018344,0.018495,-0.000188,-0.009061,0.009063,0.018344,-0.002358,10.300725,-12.541180,-1337.070651,0.000000,212.347055,6.971194
Phase_19,Ramped Internal Load [Phase_19],-19.000000,72.708333,1,-0.002247,-0.018228,0.018366,-0.000144,-0.009030,0.009031,0.018228,-0.002247,4.498858,-8.901615,-1221.586949,0.000000,224.004732,6.510793
Phase_19,Ramped Internal Load [Phase_19],-19.000000,72.166667,1,-0.002137,-0.018114,0.018240,-0.000100,-0.009001,0.009002,0.018114,-0.002137,0.616682,-5.478011,-1099.954308,0.000000,236.368050,6.890087
Phase_19,Ramped Internal Load [Phase_19],-19.000000,72.166667,1,-0.002137,-0.018114,0.018240,-0.000100,-0.009001,0.009002,0.018114,-0.002137,0.616682,-5.506027,-1105.770849,0.000000,233.658797,6.814240
Phase_19,Ramped Internal Load [Phase_19],-19.000000,71.625000,1,-0.002028,-0.018002,0.018116,-0.000055,-0.008976,0.008977,0.018002,-0.002028,-1.379219,-1.819721,-967.131311,0.000000,251.520264,5.634354
Phase_19,Ramped Internal Load [Phase_19],-19.000000,71.083333,1,-0.001918,-0.017893,0.017996,-0.000009,-0.008955,0.008955,0.017893,-0.001918,-1.474771,1.011750,-836.429287,0.000000,251.630347,6.637698
Phase_19,Ramped Internal Load [Phase_19],-19.000000,70.541667,1,-0.001808,-0.017786,0.017878,0.000037,-0.008936,0.008936,0.017786,-0.001808,-0.633862,1.898403,-720.040336,0.000000,198.666249,-1.547293
Phase_19,Ramped Internal Load [Phase_19],-19.000000,70.000000,1,-0.001698,-0.017681,0.017763,0.000083,-0.008919,0.008920,0.017681,-0.001698,0.000000,-0.249745,-624.340020,0.000000,81.036501,-5.134743
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,96.000000,1,-0.032764,0.012179,0.034954,0.002622,0.000718,0.002719,-0.012179,-0.032764,0.000000,-1647.755101,-379.641608,0.000000,0.000000,0.000000
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.850000,1,-0.032809,0.012185,0.034999,0.002540,0.000717,0.002639,-0.012185,-0.032809,-250.930728,-1646.036157,-406.552578,0.000000,-218.551089,1155.956772
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.700000,1,-0.032881,0.012209,0.035074,0.002460,0.000715,0.002562,-0.012209,-0.032881,-477.160977,-1308.406961,-447.060558,0.000000,-316.609418,3226.900652
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.550000,1,-0.032978,0.012258,0.035182,0.002385,0.000714,0.002490,-0.012258,-0.032978,-625.805758,-615.831336,-500.243284,0.000000,-387.566074,5889.090042
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.400000,1,-0.033199,0.012348,0.035421,0.002319,0.000713,0.002426,-0.012348,-0.033199,-643.084497,450.726898,-565.178495,0.000000,-12.331254,2.165083
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.400000,1,-0.033199,0.012348,0.035421,0.002319,0.000713,0.002426,-0.012348,-0.033199,-643.084497,61.256572,-543.939281,0.000000,0.000000,0.787422
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.318623,1,-0.033321,0.012407,0.035556,0.002285,0.000712,0.002393,-0.012407,-0.033321,-638.094488,61.436200,-544.352393,0.000000,0.000000,2.855158
