Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.640550,12,36,-0.041106,-0.001343,0.041128,-0.002553,-0.012435,0.012694,-0.001343,-0.041106,0.000000,0.000000,-0.001110,0.022197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.870275,12,36,-0.041071,-0.001344,0.041093,-0.002444,-0.012435,0.012673,-0.001344,-0.041071,-0.331262,-0.331262,0.003841,0.074976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,105.100000,12,36,-0.041044,-0.001348,0.041066,-0.002349,-0.012441,0.012660,-0.001348,-0.041044,-0.026457,-0.026457,0.005144,0.102676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.364125,12,37,-0.041319,-0.001353,0.041341,-0.003188,-0.012460,0.012861,-0.001353,-0.041319,0.000000,0.000000,-0.041650,0.833006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.568368,12,37,-0.041283,-0.001350,0.041305,-0.003083,-0.012454,0.012830,-0.001350,-0.041283,0.000000,0.000000,-0.033906,0.678111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.772612,12,37,-0.041248,-0.001348,0.041270,-0.002980,-0.012449,0.012800,-0.001348,-0.041248,0.000000,0.000000,-0.026671,0.533414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.976856,12,37,-0.041214,-0.001346,0.041236,-0.002878,-0.012444,0.012773,-0.001346,-0.041214,0.000000,0.000000,-0.019939,0.398784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.181100,12,37,-0.041180,-0.001345,0.041202,-0.002777,-0.012441,0.012747,-0.001345,-0.041180,0.000000,0.000000,-0.013713,0.274257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.637769,12,38,-0.041455,-0.001365,0.041477,-0.003573,-0.012487,0.012988,-0.001365,-0.041455,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.819358,12,38,-0.041420,-0.001361,0.041442,-0.003475,-0.012479,0.012954,-0.001361,-0.041420,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.000947,12,38,-0.041385,-0.001358,0.041408,-0.003378,-0.012472,0.012921,-0.001358,-0.041385,0.000000,0.000000,-0.049741,0.994827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.182536,12,38,-0.041352,-0.001355,0.041374,-0.003282,-0.012465,0.012890,-0.001355,-0.041352,0.000000,0.000000,-0.048973,0.979455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.364125,12,38,-0.041319,-0.001353,0.041341,-0.003188,-0.012460,0.012861,-0.001353,-0.041319,0.000000,0.000000,-0.041650,0.833006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.991982,12,39,-0.041589,-0.001381,0.041612,-0.003939,-0.012520,0.013125,-0.001381,-0.041589,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.153429,12,39,-0.041554,-0.001377,0.041577,-0.003845,-0.012511,0.013089,-0.001377,-0.041554,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.314876,12,39,-0.041520,-0.001372,0.041543,-0.003753,-0.012503,0.013054,-0.001372,-0.041520,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.476322,12,39,-0.041487,-0.001369,0.041510,-0.003663,-0.012495,0.013020,-0.001369,-0.041487,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.637769,12,39,-0.041455,-0.001365,0.041477,-0.003573,-0.012487,0.012988,-0.001365,-0.041455,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.417826,12,40,-0.041722,-0.001398,0.041746,-0.004287,-0.012556,0.013268,-0.001398,-0.041722,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.561365,12,40,-0.041688,-0.001394,0.041711,-0.004198,-0.012547,0.013230,-0.001394,-0.041688,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.704904,12,40,-0.041654,-0.001389,0.041677,-0.004110,-0.012537,0.013194,-0.001389,-0.041654,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.848443,12,40,-0.041621,-0.001385,0.041644,-0.004024,-0.012529,0.013159,-0.001385,-0.041621,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.991982,12,40,-0.041589,-0.001381,0.041612,-0.003939,-0.012520,0.013125,-0.001381,-0.041589,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.907356,12,41,-0.041852,-0.001416,0.041876,-0.004616,-0.012593,0.013412,-0.001416,-0.041852,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.034973,12,41,-0.041819,-0.001412,0.041843,-0.004532,-0.012583,0.013374,-0.001412,-0.041819,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.162591,12,41,-0.041786,-0.001407,0.041810,-0.004449,-0.012574,0.013338,-0.001407,-0.041786,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.290208,12,41,-0.041754,-0.001403,0.041777,-0.004367,-0.012565,0.013302,-0.001403,-0.041754,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
