Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.075000,5,13,-0.040585,-0.031885,0.051612,-0.002435,-0.001675,0.002956,-0.031885,0.040585,-1279.516499,-605.632472,-888.606745,-177.721349
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.100000,5,13,-0.040659,-0.031886,0.051671,-0.002501,-0.001676,0.003011,-0.031886,0.040659,-1294.653640,-605.609306,-888.302731,-177.660546
Phase_19,Ramped Internal Load [Phase_19],-18.475000,105.100000,3,18,-0.041047,-0.001353,0.041069,-0.002353,-0.012450,0.012670,0.001353,-0.041047,-406.060182,187.964773,-292.418558,-58.483712
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.870275,3,18,-0.041102,-0.001347,0.041124,-0.002421,-0.012447,0.012680,0.001347,-0.041102,-362.902831,187.864485,-294.856727,-58.971345
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.640550,3,18,-0.041062,-0.001342,0.041084,-0.002397,-0.012444,0.012673,0.001342,-0.041062,-319.741414,187.818934,-297.297834,-59.459567
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.410825,3,18,-0.040938,-0.001337,0.040960,-0.002294,-0.012441,0.012651,0.001337,-0.040938,-276.586538,187.811484,-299.740221,-59.948044
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.181100,3,18,-0.040740,-0.001331,0.040762,-0.002123,-0.012438,0.012618,0.001331,-0.040740,-233.449977,187.825498,-302.182227,-60.436445
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.181100,3,19,-0.040740,-0.001331,0.040762,-0.002123,-0.012438,0.012618,0.001331,-0.040740,-233.449977,187.817456,-302.183438,-60.436688
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.976856,3,19,-0.040513,-0.001326,0.040534,-0.001922,-0.012435,0.012583,0.001326,-0.040513,-195.098286,187.817598,-304.355863,-60.871173
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.772612,3,19,-0.040244,-0.001321,0.040266,-0.001683,-0.012432,0.012546,0.001321,-0.040244,-156.728832,187.817767,-306.531226,-61.306245
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.568368,3,19,-0.039943,-0.001315,0.039965,-0.001416,-0.012430,0.012510,0.001315,-0.039943,-118.359341,187.817962,-308.708015,-61.741603
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.364125,3,19,-0.039618,-0.001310,0.039639,-0.001126,-0.012427,0.012478,0.001310,-0.039618,-80.007538,187.818184,-310.884718,-62.176944
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.364125,3,20,-0.039618,-0.001310,0.039639,-0.001126,-0.012427,0.012478,0.001310,-0.039618,-80.007538,187.818184,-310.885381,-62.177076
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.182536,3,20,-0.039314,-0.001305,0.039336,-0.000857,-0.012425,0.012454,0.001305,-0.039314,-45.909711,187.818402,-312.822684,-62.564537
Phase_19,Ramped Internal Load [Phase_19],-18.475000,103.000947,3,20,-0.039003,-0.001300,0.039024,-0.000582,-0.012422,0.012436,0.001300,-0.039003,-11.796079,187.818640,-314.761467,-62.952293
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.819358,3,20,-0.038690,-0.001295,0.038711,-0.000308,-0.012420,0.012424,0.001295,-0.038690,22.317599,187.818898,-316.700343,-63.340069
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.637769,3,20,-0.038380,-0.001290,0.038402,-0.000040,-0.012417,0.012417,0.001290,-0.038380,56.415560,187.819176,-318.637925,-63.727585
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.637769,3,21,-0.038380,-0.001290,0.038402,-0.000040,-0.012417,0.012417,0.001290,-0.038380,56.415560,187.819176,-318.638791,-63.727758
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.476322,3,21,-0.038113,-0.001285,0.038134,0.000189,-0.012415,0.012417,0.001285,-0.038113,86.731389,187.819439,-320.361418,-64.072284
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.314876,3,21,-0.037856,-0.001280,0.037878,0.000404,-0.012413,0.012420,0.001280,-0.037856,117.061278,187.819717,-322.085262,-64.417052
Phase_19,Ramped Internal Load [Phase_19],-18.475000,102.153429,3,21,-0.037616,-0.001276,0.037637,0.000603,-0.012411,0.012426,0.001276,-0.037616,147.391212,187.820009,-323.809105,-64.761821
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.991982,3,21,-0.037394,-0.001271,0.037415,0.000779,-0.012409,0.012433,0.001271,-0.037394,177.707180,187.820316,-325.531732,-65.106346
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.991982,3,22,-0.037394,-0.001271,0.037415,0.000779,-0.012409,0.012433,0.001271,-0.037394,177.707180,187.820316,-325.532523,-65.106505
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.848443,3,22,-0.037216,-0.001266,0.037238,0.000916,-0.012407,0.012441,0.001266,-0.037216,204.660515,187.820601,-327.064075,-65.412815
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.704904,3,22,-0.037060,-0.001262,0.037081,0.001029,-0.012405,0.012448,0.001262,-0.037060,231.626354,187.820898,-328.596708,-65.719342
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.561365,3,22,-0.036927,-0.001257,0.036948,0.001116,-0.012403,0.012453,0.001257,-0.036927,258.592236,187.821205,-330.129341,-66.025868
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.417826,3,22,-0.036821,-0.001253,0.036842,0.001175,-0.012401,0.012457,0.001253,-0.036821,285.545701,187.821523,-331.660893,-66.332179
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.417826,3,23,-0.036821,-0.001253,0.036842,0.001175,-0.012401,0.012457,0.001253,-0.036821,285.545701,187.821523,-331.661596,-66.332319
